,name,rating_star,price,price_before_discount,description
16,WHISKAS® Makanan Kucing Basah Rasa Tuna 85 g,4.932432,5900.0,6400.0,"1. Dirancang khusus agar lengkap dan seimbang untuk kucing berusia 1 tahun ke atas.
2. Diperkaya dengan omega 3 & 6, lemak dan seng untuk mantel yang sehat dan berkilau.
3. Lengkap dengan vitamin A dan taurin untuk penglihatan sehat.
4. Diisi dengan protein dari ikan asli, termasuk lemak, vitamin dan mineral, sehingga kucing Anda tetap bugar dan bahagia.
5. Mengandung antioksidan (vitamin E dan selenium) untuk sistem kekebalan tubuh yang sehat."
17,Greenfields Skimmed Milk 1000ml,4.856577,22700.0,22900.0,Greenfields Skimmed Milk 1000ml adalah susu tanpa lemak (0% Fat) yang dibuat dengan menghilangkan sebagian besar air dan lemak yang terdapat dalam susu. Susu skim merupakan bagian dari susu yang krimnya diambil sebagian atau seluruhnya.
18,Roma Sari Gandum Susu Cokelat 115gr,4.936221,6300.0,7700.0,"Roma Sari Gandum Susu Cokelat 115gr merupakan biskuit sandwich yang terbuat dari gandum pilihan, dengan susu di biskuitnya, dan kaya vitamin. Baik untuk dinikmati oleh seluruh keluarga serta sebagai camilan pelengkap teh ataupun kopi. BPOM : Shelf life :"
19,Nabati Klapa Lava 50gr,4.919668,2300.0,2400.0,"Nabati Klapa Lava 50gr merupakan wafer renyah dan ringan dengan krim yang sangat terasa. Nabati merupakan pilihan makanan ringan yang lebih sehat karena mengandung vitamin (A, B1, B2, B6, B12) dan cocok untuk dinikmati kapan saja.."
20,Yupi School of Fish 180gr,4.915023,12700.0,13200.0,"Yupi School of Fish 180gr merupakan permen dengan tekstur kenyal sehingga asyik untuk dinikmati di waktu sibuk dan santai. Bentuk permen pun dibuat unik sehingga menambah keseruan saat memakan permen ini. Selain memiliki kandungan sari buah yang kaya manfaat, permen ini juga mengandung vitamin C yang baik bagi tubuh. Shelf life: 12 bulan BPOM: MD 824510063115"
21,Oatsy Havermout Oatmeal Instant 750 gr,4.966667,30300.0,32900.0,"Oatsy terbuat dari 100% Biji Oats, Tinggi Serat Pangan yang dapat membantu mempertahankan fungsi saluran pencernaan, Konsumsi pangan ini rendah lemak, rendah lemak jenuh dan/atau rendah kolestrol untuk hasil yang lebih baik,Jangan lupakan pula hidup sehat dan olahraga teratur. 

BPOM 230509006464
Shelf Life: 12 Bulan"
22,Colatta Professional Chocolates Dark Compound 1Kg,4.884726,54900.0,62100.0,"Cokelat masak jenis compound yang sangat cocok untuk hiasan kue, dicetak, diserut, serta dibuat sebagai bahan isian / filling dan bahkan bisa langsung dimakan. BPOM 624331017028,Shelf Life: 12"
23,Excelso Arabica Gold Bubuk 100gr,4.833333,23600.0,24000.0,"Excelso Arabica Gold Bubuk 100gr merupakan kopi berkualitas tinggi untuk pecinta kopi. Terbuat dari biji kopi pilihan dari kebun yang dikelola secara profesional dan cocok untuk membuat kopi Vietnam, Coffee press, Espresso, Coffee Filter, kopi tubruk dan kopi lainnya. Sudah mendapat Sertifikasi Halal dari Majelis Ulama Indonesia. BPOM MD 668713109005,Shelf Life: 12 bulan"
24,BuKrim Liquish Jeruk Nipis S.Cair Cuci Piring 700ml,4.8742,11900.0,12000.0,"BuKrim Liquish Jeruk Nipis S.Cair Cuci Piring 700ml

BuKrim Liquish Jeruk Nipis dengan ekstrak Jeruk Nipis, bersih kesat amis lenyap"
25,Yuri Ligent Cairan Cuci Piring Lemon Pouch 180 ml - 3 Pcs,4.933333,10000.0,11900.0,"Isi paket 3 pcs Yuri Ligent Cairan Cuci Piring Lemon Pouch 180 ml 

Ligent adalah cairan pencuci peralatan makan dan perlengkapan dapur seperti : piring, gelas, sendok, garpu, pisau dan perlengkapan masak lainnya."
26,Yuri Ligent Cairan Cuci Piring Lemon Botol 1000 ml - 2 Pcs,5.0,45400.0,53800.0,"Isi paket 2 pcs Yuri Ligent Cairan Cuci Piring Lemon Botol 1000 ml

Ligent adalah cairan pencuci peralatan makan dan perlengkapan dapur seperti : piring, gelas, sendok, garpu, pisau dan perlengkapan masak lainnya."
27,BuKrim Liquish Jeruk Nipis S.Cair Cuci Piring 700ml,4.8742,11900.0,12000.0,"BuKrim Liquish Jeruk Nipis S.Cair Cuci Piring 700ml

BuKrim Liquish Jeruk Nipis dengan ekstrak Jeruk Nipis, bersih kesat amis lenyap"
28,Pronas Corned Beef Sachet 50 Gr,4.926252,5400.0,5500.0,"Pronas Corned Beef Classic Sachet 50 Gr terbuat dari daging sapi berkualitas premium sehingga memiliki rasa yang sangat lezat.

BPOM: MD 639522012004"
29,Tiga Sapi Plain Can 370 gr,4.875,7700.0,10000.0,"Krimer Kental Manis Tiga Sapi sangat pas melengkapi minuman favorit Anda - kopi, teh, es teler, es campur atau aneka hidangan kreasi Anda. Rasa gurih dan lezatnya selalu bikin ketagihan. Mengandung :
- Vitamin A
- Vitamin B1 dan D3
- Umur simpan 9 bulan
BPOM MD 502110050157, Shelf Life: 9 Bulan"
30,Dairy Champ 500gr,4.897698,11400.0,15000.0,"Dairy Champ adalah krimer kental manis yang dibuat dengan bahan-bahan pilihan dan berkualitas. Krimer kental manis ini mengandung vitamin A, B1, dan D3. Cocok untuk dikonsumsi secara langsung atau dijadikan bahan masakan lainnya."
31,Indomilk Susu Kental Manis Plain 325 gr,4.903226,9100.0,10200.0,"Susu Kental Manis Indomilk Plain 325 gr merupakan krimer kental manis sumber Kalsium, vitamin D3, Fosfor, vitamin B1, vitamin A serta mengandung vitamin B5, B6, E, dan Zink. Kemudahan dari kemasan ini adalah mudah dibuka dan tutup, mudah dipegang dan dituang, mudah disimpan dan dibawa
BPOM MD 402110025157, Shelf Life: 12 BULAN"
32,Indomilk Susu Steril Melon 190 Ml,4.922242,3400.0,4200.0,Susu Steril Indomilk Melon 190 Ml merupakan susu steril siap minum untuk anak dalam usia pertumbuhan 3 sampai 12 tahun dapat dikonsumsi sehari hari dengan rasa melon yang enak.
33,Twister Chocolate 45gr,4.899587,4900.0,5000.0,"Twister Chocolate 45gr merupakan wafer persembahan twister, sangat ideal dinikmati saat santai bersama teman dan keluarga. Selian itu, wafer persembahan Twister ini memiliki kemasan yang praktis dan mudah untuk Anda konsumsi."
34,Indomilk Susu UHT Kids Vanila 115 Ml x2,4.842857,4800.0,6000.0,"Paket ini berisi 2x Indomilk Susu UHT Kids Vanila 115 Ml Indomilk Susu UHT Kids Vanila 115 Ml Sedang Mengalami Perubahan Packaging.        Susu Uht Indomilk Kids Vanila 115 Ml merupakan susu UHT Terbuat dari susu sapi segar pilihan mengandung vitamin A, B1, B6, D, Kalsium, dan Fosfor, serta kaya akan Karotenoid, Prebiotik, serta Yodium untuk membantu masa pertumbuhan si kecil Diolah dengan proses sterilisasi metode HTST (High Temperature Short Time) yang mampu membunuh mikro organisme dalam susu sehingga aman untuk dikonsumsi, serta awet dan tahan lama disimpan di suhu ruang meski tanpa bahan pengawet"
35,Dancow Coklat Fortigro Excelnutri+ UHT 110 ml,4.922567,3000.0,3100.0,"Dancow Coklat Fortigro Excelnutri+ UHT 110ml adalah susu coklat segar dan merupakan sumber protein susu, kaya kalsium, vitamin, zat besi dan zink, serta kolin berperan untuk mendukung Si Buah Hati agar siap sekolah. Dancow Fortigro menjadi pilihan yang tepat untuk pertumbuhan dan perkembangan si buah hati.

 BPOM :  MD 400813017007 Shelf life :  12 Bulan"
36,Greenfields Choco Malt 125ml,4.892608,4000.0,4200.0,"Greenfields Choco Malt 125ml merupakan susu cair dari Greenfields yang diformulasi siap minum, dengan rasa choco malt yang nikmat untuk memenuhi kebutuhan kebutuhan Kalsium harian Anda dan keluarga.

BPOM MD 400813039621"
37,Greenfields Strawberry 125ml + Greenfields Choco Malt 125ml,4.866972,6900.0,8400.0,"1. Greenfields Strawberry 125ml merupakan susu cair dari Greenfields yang diformulasi siap minum, dengan rasa strawberry yang nikmat untuk memenuhi kebutuhan kebutuhan Kalsium harian Anda dan keluarga.


2. Greenfields Choco Malt 125ml merupakan susu cair dari Greenfields yang diformulasi siap minum, dengan rasa choco malt yang nikmat untuk memenuhi kebutuhan kebutuhan Kalsium harian Anda dan keluarga. 

BPOM MD 400813039621"
38,Greenfields Strawberry 200ml,4.893035,5400.0,5500.0,"Greenfields Strawberry 200ml merupakan susu cair dari Greenfields yang diformulasi siap minum, dengan rasa strawberry yang nikmat untuk memenuhi kebutuhan kebutuhan Kalsium harian Anda dan keluarga."
39,137 Degrees Almond Milk Unsweetened 180 ml,4.912088,17600.0,21100.0,"137 Degrees Almond Milk Unsweetened [180 ml] merupakan susu kacang almond yang bebas dari pengemulsi, pengental kimia, dan penyedap alami. Dibuat menggunakan bahan-bahan segar dan berkualitas terbaik untuk menghasilkan susu kacang yang full, creamy & wholesome, seperti buatan sendiri. Susu kacang diproses dengan suhu 137°C hanya beberapa detik untuk menjaga sebagian besar nutrisi sehingga susu selalu segar dan dapat dinikmati oleh siapa saja. Cocok untuk semua orang, termasuk anak-anak satu tahun ke atas. 

BPOM BPOM RI ML 466609152625
Shelf Life: 6 bulan"
40,137 Degrees Almond Milk with Coffee Latte 180 ml,4.892216,17100.0,21100.0,"137 Degrees Almond Milk with Coffee Latte [180 ml] merupakan susu kacang almond yang bebas dari pengemulsi, pengental kimia, dan penyedap alami. Dibuat menggunakan bahan-bahan segar dan berkualitas terbaik untuk menghasilkan susu kacang yang full, creamy & wholesome, seperti buatan sendiri. Kandungan kopi membuat rasa menjadi lebih nikmat. Susu kacang diproses dengan suhu 137°C hanya beberapa detik untuk menjaga sebagian besar nutrisi sehingga susu selalu segar dan dapat dinikmati oleh siapa saja. Cocok untuk semua orang, termasuk anak-anak satu tahun ke atas. 

BPOM BPOM RI ML 466609168625
Shelf Life: 6 bulan"
