nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Blus Afifa Kuning,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2294_480x480.jpg?v=1484132275,"
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 100 cm
Panjang Lengan : 59 cm
Lingkar Lengan : 45 cm
Panjang Blus : 60 cm

"
Blus Agatha Coklat,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1798_480x480.jpg?v=1484130082,"
"
Blus Agni Grey Size L,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0714_4a749ce3-40b5-4908-8cf7-a9abeb7aa975_480x480.jpg?v=1490008078,"
Cocok di pakai saat santai 
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Panjang Lengan :
Lingkar Lengan :
Panjang Baju : 
Lingkar Dada : 

"
Blus Agni Grey Size Xl,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0714_bce3dc3d-4a01-40a6-890b-c7a55f4a1c95_480x480.jpg?v=1490008123,"
Cocok di paakai saat santai 
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Panjang Lengan :58 cm 
Lingkar Lengan :42 cm 
Panjang Baju : 65 cm 
Lingkar Dada : 180 cm 

"
Blus Ailee Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1731_480x480.jpg?v=1484117002,"
Detail Bahan Dan Ukuran 

Bahan :silk tisue 
Lingkar Dada :91 cm
Panjang Baju :51 cm
Panjang Lengan : 19 cm
Lingkar Lengan :46 cm 

"
Blus Alka Kuning,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1610_480x480.jpg?v=1484629373,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Lingkar Dada :92 cm 
Panjang Lengan : 57 cm 
Panjang Baju :69 cm 

"
Blus Alka Orange,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1471_81c48f20-2406-4a86-8243-5e83c6e70543_480x480.jpg?v=1484636170,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Lingkar Dada :92 cm 
Panjang Lengan : 57 cm 
Panjang Baju : 63 cm 

"
Blus Alka Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1529_480x480.jpg?v=1484629863,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Lingkar Dada :92 cm 
Panjang Lengan : 57 cm 
Panjang Baju : 69 cm 

"
Blus Amanda Peach,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_5718_480x480.jpg?v=1539693100,"
Detail Bahan Dan Ukuran :

bahan : sifon
Lingkar Dada : 99 cm 
Panjang Lengan : 58 Cm 
Panjang :65 Cm 

"
Blus Amantha Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0986_480x480.jpg?v=1484130554,"
Detail Bahan Dan Ukuran 

Bahan : Sepandek 
Lingkar Dada:96 cm
Panjang Baju :62 cm
Panjang Lengan :72 cm

"
Blus Amantha Ungu,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0992_480x480.jpg?v=1484130644,"
Detail Bahan Dan Ukuran 

Bahan : Sepandek 
Lingkar Dada : 96 cm
Panjang Baju  : 62 cm
Panjang Lengan : 72 cm

"
Blus Amyra Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0880_480x480.jpg?v=1485859678,"
Detal  Bahan Dan Ukuran 

Bahan : Jersey 
Panjang Baju : 62 cm 
Panjang Lengan : 49 cm 
Lingkar Dada : 96 cm 

"
Blus Anfisa Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1361_480x480.jpg?v=1497269683,"
Blus ini sangat cocok di pakai saat santai atau berpergian ke mall..dan di bagian belakang memakai pita..untuk lebih bergaya tinggal padukan dengan heels atau kets.
Detail Bahan Dan Ukuran 

Bahan : Jersey
Lingkar Dada:99 cm 
Panjang Baju :58 cm 

"
Blus Anka Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0011_480x480.jpg?v=1485853941,"
Blus ini sangat cocok di pakai saat santai.. bisa juga di pakai saat tidur....
Detail Bahan Dan Ukuran 

Bahan : Jersey
Lingkar Dada : 103 cm
Lingkar Lengan : 63 cm
Panjang Baju : 60 cm 

"
Blus Arely Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1300_cream_480x480.jpg?v=1484123225,"
etail Bahan Dan Ukuran 

Lingkar Dada :105
Panjang  Baju  : 65
Bahan : Jersey 

"
