nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Dress Barbra Coklat,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0790_480x480.jpg?v=1484133018,"
Dress panjang yang cocok buat hijabers, dengan bahan yang nyaman di pakai. Padukan dengan heels dan clutch yang cantik maka penampilan kamu jadi lebih gaya lagi.
Detail Bahan dan Ukuran :

Bahan : Kaos
Lingkar Dada : 99 cm
Panjang Lengan : 56 cm
Panjang Dress : 133 cm

"
Dress Barbra Fuchsia,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0839_480x480.jpg?v=1484133108,"
Dress panjang yang cocok buat hijabers, dengan bahan yang nyaman di pakai. Padukan dengan heels dan clutch yang cantik maka penampilan kamu jadi lebih gaya lagi.
Detail Bahan dan Ukuran :

Bahan : Kaos
Lingkar Dada : 99 cm
Panjang Lengan : 56 cm
Panjang Dress : 133 cm

"
Dress Barbra Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0898_480x480.jpg?v=1484133159,"
Dress panjang yang cocok buat hijabers, dengan bahan yang nyaman di pakai. Padukan dengan heels dan clutch yang cantik maka penampilan kamu jadi lebih gaya lagi.
Detail Bahan dan Ukuran :

Bahan : Kaos
Lingkar Dada : 99 cm
Panjang Lengan : 56 cm
Panjang Dress : 133 cm

"
Dress Barbra Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1077_480x480.jpg?v=1484133242,"
Dress panjang yang cocok buat hijabers, dengan bahan yang nyaman di pakai. Padukan dengan heels dan clutch yang cantik maka penampilan kamu jadi lebih gaya lagi.
Detail Bahan dan Ukuran :

Bahan : Kaos
Lingkar Dada : 99 cm
Panjang Lengan : 56 cm
Panjang Dress : 133 cm

"
Dress Cynda Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0012_1_480x480.jpg?v=1484124926,"
Detail Bahan dan Ukuran :

Bahan : Katun Tissue
Lingkar Dada : 103 cm
Panjang Lengan : 55 cm
Panjang Dress : 133 cm

"
Dress Edita Merah,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2947_480x480.jpg?v=1500460095,"
Dress ini sangat nyaman di pakai ...bisa juga di pakai untuk hijab .. tinggal padukan dengan hells..untuk lebih bergaya padukan juga dengan tas atau cardigan yg bermotif 
 
Detail Bahan dan Ukuran :

Bahan : Spandek
Lingkar Dada : 110cm
Panjang Lengan : 64 cm
Panjang Dress : 133 cm

"
Dress Neva Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0655_480x480.jpg?v=1484576769,"
Dres Panjang sangat cocok di pakai ke acara arisan atau formal..tinggal padukan dengan heels atau kets 
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 101 cm
Panjang Lengan : 63 cm
Panjang Dress : 145 cm

"
Dress Neva Kuning,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0836_480x480.jpg?v=1484219924,"
Dres Panjang sangat cocok di pakai ke acara arisan atau formal..tinggal padukan dengan heels atau kets 
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 101 cm
Panjang Lengan : 63 cm
Panjang Dress : 145 cm

"
Dress Syaqilah Salem,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1345salem_480x480.jpg?v=1539593296,"
Detail Bahan Dan Ukuran :

 Bahan Ktun Rayon 
Lingkar Dada : 130 Cm 
Panjang Dres : 118 Cm 

 
"
Paket Arla Biru ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1326blue_480x480.jpg?v=1499945549,"
Detail Bahan Dan Ukuran :

Ukuran Dres 
Bahan : spandek 
Lingkar Dada : 104 cm 
Panjang Lengan :59 cm 
Panjang : 137 cm 
Ukuran auter 
Bahan : Brokat
Linkar Dada : 103 cm 
Panjang Lengan: 52 cm 
Panjang : 56 cm 

"
